SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO ANULADO E APURADO EM SEPARADO,VOTO BRANCO,VOTO NULO
AL,27138,BATALHA,29,39.87150837988827,12173,6468,5705,1,29,29,619,5479,189,26,206,1933,43,NA,5,21,5,NA,127,521
AL,27138,BATALHA,29,39.87150837988827,12173,6468,5705,2,NA,NA,NA,6261,NA,NA,NA,2072,NA,NA,NA,NA,NA,NA,93,378
AL,27154,BELÉM,28,41.44891576313594,4796,2477,2319,1,4,25,164,2123,110,15,160,672,17,NA,2,33,NA,NA,117,228
AL,27154,BELÉM,28,41.44891576313594,4796,2477,2319,2,NA,NA,NA,2511,NA,NA,NA,684,NA,NA,NA,NA,NA,NA,68,157
AL,27170,BELO MONTE,29,39.690884300740166,5134,2611,2523,1,5,32,164,2744,73,13,125,450,13,NA,1,24,1,NA,47,139
AL,27170,BELO MONTE,29,39.690884300740166,5134,2611,2523,2,NA,NA,NA,2928,NA,NA,NA,486,NA,NA,NA,NA,NA,NA,38,146
AL,27197,BOCA DA MATA,48,40.78674174558485,19536,10070,9466,1,61,138,918,6163,303,55,357,3999,126,3,2,78,3,NA,452,969
AL,27197,BOCA DA MATA,48,40.78674174558485,19536,10070,9466,2,NA,NA,NA,7788,NA,NA,NA,4521,NA,NA,NA,NA,NA,NA,227,822
AL,27219,BRANQUINHA,9,39.55883813306852,8057,4059,3998,1,16,64,301,3273,184,15,257,961,13,1,1,23,NA,NA,159,294
AL,27219,BRANQUINHA,9,39.55883813306852,8057,4059,3998,2,NA,NA,NA,3756,NA,NA,NA,1160,NA,NA,NA,NA,NA,NA,74,243
AL,27235,CACIMBINHAS,46,41.472090705208075,8026,4258,3768,1,6,14,390,3665,135,9,295,966,42,2,1,9,1,NA,64,336
AL,27235,CACIMBINHAS,46,41.472090705208075,8026,4258,3768,2,NA,NA,NA,4166,NA,NA,NA,1125,NA,NA,NA,NA,NA,NA,51,245
AL,27251,CAJUEIRO,5,39.973211781206174,14260,7492,6768,1,27,46,618,5136,429,23,323,2332,20,1,1,62,3,NA,294,772
AL,27251,CAJUEIRO,5,39.973211781206174,14260,7492,6768,2,NA,NA,NA,6380,NA,NA,NA,2652,NA,NA,NA,NA,NA,NA,138,545
AL,27278,CAMPO ALEGRE,47,38.89973669912651,23928,12476,11452,1,25,308,1198,9564,407,57,599,3571,70,NA,3,91,6,NA,403,1089
AL,27278,CAMPO ALEGRE,47,38.89973669912651,23928,12476,11452,2,NA,NA,NA,11526,NA,NA,NA,4239,NA,NA,NA,NA,NA,NA,233,897
AL,27294,CAMPO GRANDE,20,39.871977414999385,8148,4184,3964,1,6,37,470,4078,107,12,194,684,13,1,2,13,1,NA,134,343
AL,27294,CAMPO GRANDE,20,39.871977414999385,8148,4184,3964,2,NA,NA,NA,5022,NA,NA,NA,843,NA,NA,NA,NA,NA,NA,44,180
AL,27316,CANAPI,27,40.74959969500572,13116,6783,6333,1,14,19,445,6931,98,10,329,809,25,NA,NA,32,9,NA,137,489
AL,27316,CANAPI,27,40.74959969500572,13116,6783,6333,2,NA,NA,NA,7618,NA,NA,NA,905,NA,NA,NA,NA,NA,NA,70,327
AL,27332,CAPELA,6,40.43646408839779,12852,6663,6189,1,35,109,769,4136,365,30,276,3055,46,3,NA,63,3,NA,239,668
AL,27332,CAPELA,6,40.43646408839779,12852,6663,6189,2,NA,NA,NA,5192,NA,NA,NA,3222,NA,NA,NA,NA,NA,NA,110,508
AL,27359,CARNEIROS,19,38.771680857773575,6342,3314,3028,1,7,13,252,3364,61,12,164,455,28,1,NA,15,3,NA,51,261
AL,27359,CARNEIROS,19,38.771680857773575,6342,3314,3028,2,NA,NA,NA,3873,NA,NA,NA,547,NA,NA,NA,NA,NA,NA,27,202
AL,27375,CHÃ PRETA,28,40.12180143295804,5862,2979,2883,1,10,18,233,2534,85,11,125,762,14,1,NA,11,1,NA,89,341
AL,27375,CHÃ PRETA,28,40.12180143295804,5862,2979,2883,2,NA,NA,NA,2994,NA,NA,NA,788,NA,NA,NA,NA,NA,NA,38,256
AL,27391,COITÉ DO NÓIA,45,40.67370807972312,8380,4296,4084,1,16,23,590,4036,123,13,191,786,48,1,NA,23,3,NA,113,375
AL,27391,COITÉ DO NÓIA,45,40.67370807972312,8380,4296,4084,2,NA,NA,NA,5010,NA,NA,NA,964,NA,NA,NA,NA,NA,NA,63,293
AL,27413,COLÔNIA LEOPOLDINA,16,39.33799424633706,14949,7561,7388,1,21,156,892,4274,386,36,267,3241,26,6,3,43,5,NA,326,887
AL,27413,COLÔNIA LEOPOLDINA,16,39.33799424633706,14949,7561,7388,2,NA,NA,NA,5582,NA,NA,NA,3559,NA,NA,NA,NA,NA,NA,118,643
AL,27430,COQUEIRO SECO,8,40.83659555751045,4547,2336,2211,1,9,18,227,1631,187,15,81,1109,15,2,NA,24,3,NA,144,307
AL,27430,COQUEIRO SECO,8,40.83659555751045,4547,2336,2211,2,NA,NA,NA,2016,NA,NA,NA,1265,NA,NA,NA,NA,NA,NA,76,253
AL,27456,CORURIPE,7,40.21359577182431,38411,19891,18520,1,72,257,1746,8377,1356,88,803,12003,127,8,5,284,7,NA,1043,2669
AL,27456,CORURIPE,7,40.21359577182431,38411,19891,18520,2,NA,NA,NA,11098,NA,NA,NA,13819,NA,NA,NA,NA,NA,NA,464,2239
AL,27472,DELMIRO GOUVEIA,40,41.027857932633964,37082,19706,17376,1,32,235,2631,18820,292,57,752,3683,150,3,4,99,6,NA,391,1355
AL,27472,DELMIRO GOUVEIA,40,41.027857932633964,37082,19706,17376,2,NA,NA,NA,22523,NA,NA,NA,4009,NA,NA,NA,NA,NA,NA,200,1065
AL,27499,DOIS RIACHOS,46,40.16643192488263,8522,4279,4243,1,5,8,424,3903,90,10,200,914,16,1,1,12,NA,NA,74,335
AL,27499,DOIS RIACHOS,46,40.16643192488263,8522,4279,4243,2,NA,NA,NA,4444,NA,NA,NA,1072,NA,NA,NA,NA,NA,NA,53,223
AL,27510,FEIRA GRANDE,49,39.970842204873435,16909,8825,8084,1,6,52,749,8392,273,14,478,1846,27,NA,NA,24,4,NA,323,676
AL,27510,FEIRA GRANDE,49,39.970842204873435,16909,8825,8084,2,NA,NA,NA,10412,NA,NA,NA,2144,NA,NA,NA,NA,NA,NA,150,603
AL,27537,FELIZ DESERTO,7,40.50556206088993,3416,1788,1628,1,7,14,123,1239,97,9,89,586,2,2,1,8,1,NA,65,187
AL,27537,FELIZ DESERTO,7,40.50556206088993,3416,1788,1628,2,NA,NA,NA,1417,NA,NA,NA,689,NA,NA,NA,NA,NA,NA,23,127
AL,27553,FLEXEIRAS,53,40.01121738103672,8469,4372,4097,1,12,71,356,2259,265,21,253,2234,21,2,3,37,1,NA,181,474
AL,27553,FLEXEIRAS,53,40.01121738103672,8469,4372,4097,2,NA,NA,NA,2780,NA,NA,NA,2526,NA,NA,NA,NA,NA,NA,79,384
AL,27570,GIRAU DO PONCIANO,44,40.00074983227436,25339,13201,12138,1,34,105,1318,13137,246,36,504,1880,24,6,NA,73,3,NA,377,901
AL,27570,GIRAU DO PONCIANO,44,40.00074983227436,25339,13201,12138,2,NA,NA,NA,15898,NA,NA,NA,2338,NA,NA,NA,NA,NA,NA,174,663
AL,27596,IBATEGUARA,16,39.35515761984704,10722,5479,5243,1,26,62,431,3892,308,26,249,2163,16,1,1,25,2,NA,287,595
AL,27596,IBATEGUARA,16,39.35515761984704,10722,5479,5243,2,NA,NA,NA,4865,NA,NA,NA,2464,NA,NA,NA,NA,NA,NA,109,513
AL,27618,IGACI,45,41.33807570486526,19259,10131,9128,1,30,44,860,9218,243,33,435,1611,42,1,3,61,4,NA,313,762
AL,27618,IGACI,45,41.33807570486526,19259,10131,9128,2,NA,NA,NA,11111,NA,NA,NA,1901,NA,NA,NA,NA,NA,NA,146,553
AL,27634,IGREJA NOVA,37,39.96472905227978,16758,8479,8279,1,27,66,545,7969,335,26,365,2113,12,1,1,60,4,NA,482,740
AL,27634,IGREJA NOVA,37,39.96472905227978,16758,8479,8279,2,NA,NA,NA,9410,NA,NA,NA,2427,NA,NA,NA,NA,NA,NA,162,586
AL,27650,INHAPI,39,40.63219512195122,12301,6560,5741,1,8,47,491,6188,137,7,309,729,12,NA,NA,13,1,NA,146,532
AL,27650,INHAPI,39,40.63219512195122,12301,6560,5741,2,NA,NA,NA,7102,NA,NA,NA,918,NA,NA,NA,NA,NA,NA,92,352
AL,27677,JACARÉ DOS HOMENS,29,39.46463798530955,4766,2466,2300,1,12,9,235,2613,47,17,99,390,12,NA,NA,9,NA,NA,38,158
AL,27677,JACARÉ DOS HOMENS,29,39.46463798530955,4766,2466,2300,2,NA,NA,NA,2981,NA,NA,NA,434,NA,NA,NA,NA,NA,NA,22,91
AL,27693,JACUÍPE,14,39.082095096582464,5384,2633,2751,1,16,49,345,2443,80,5,114,672,5,1,1,10,2,NA,95,246
AL,27693,JACUÍPE,14,39.082095096582464,5384,2633,2751,2,NA,NA,NA,2736,NA,NA,NA,715,NA,NA,NA,NA,NA,NA,35,186
AL,27715,JAPARATINGA,14,39.9617209743752,6323,3215,3108,1,10,76,191,1688,215,11,134,1900,17,2,1,30,1,NA,180,415
AL,27715,JAPARATINGA,14,39.9617209743752,6323,3215,3108,2,NA,NA,NA,2066,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA,82,306
AL,27731,JARAMATAIA,44,40.01531492666091,4636,2351,2285,1,3,31,230,2466,44,3,126,419,14,NA,4,10,4,NA,59,215
AL,27731,JARAMATAIA,44,40.01531492666091,4636,2351,2285,2,NA,NA,NA,2806,NA,NA,NA,462,NA,NA,NA,NA,NA,NA,32,172
AL,27758,JOAQUIM GOMES,53,39.037323996126055,13423,6860,6563,1,21,61,631,5985,313,24,407,1906,7,1,NA,39,2,NA,233,621
AL,27758,JOAQUIM GOMES,53,39.037323996126055,13423,6860,6563,2,NA,NA,NA,6950,NA,NA,NA,2138,NA,NA,NA,NA,NA,NA,108,474
AL,27774,JUNDIÁ,14,39.33667861409797,4185,2048,2137,1,7,16,251,1283,114,17,98,850,18,4,NA,13,1,NA,92,236
AL,27774,JUNDIÁ,14,39.33667861409797,4185,2048,2137,2,NA,NA,NA,1547,NA,NA,NA,855,NA,NA,NA,NA,NA,NA,24,163
AL,27790,JUNQUEIRO,34,40.65422137847387,18963,9756,9207,1,32,94,1316,6993,340,43,490,3144,106,2,5,44,2,NA,403,705
AL,27790,JUNQUEIRO,34,40.65422137847387,18963,9756,9207,2,NA,NA,NA,8973,NA,NA,NA,3609,NA,NA,NA,NA,NA,NA,191,676
AL,27812,LAGOA DA CANOA,44,40.39761753718193,14189,7463,6726,1,17,68,935,6512,300,24,394,1769,31,2,NA,73,5,NA,260,599
AL,27812,LAGOA DA CANOA,44,40.39761753718193,14189,7463,6726,2,NA,NA,NA,8222,NA,NA,NA,2297,NA,NA,NA,NA,NA,NA,168,471
AL,27839,LIMOEIRO DE ANADIA,47,39.69195415342715,17625,9321,8304,1,20,63,1199,7861,242,15,260,2089,37,1,1,34,6,NA,335,946
AL,27839,LIMOEIRO DE ANADIA,47,39.69195415342715,17625,9321,8304,2,NA,NA,NA,9971,NA,NA,NA,2362,NA,NA,NA,NA,NA,NA,160,561
AL,27855,MACEIÓ,1,42.39337346496509,103829,57763,46066,1,483,945,13478,13014,3174,810,1304,43792,2027,24,36,1630,45,NA,2074,4961
AL,27855,MACEIÓ,1,42.39337346496509,103829,57763,46066,2,NA,NA,NA,28747,NA,NA,NA,50371,NA,NA,NA,NA,NA,NA,1704,5556
AL,27855,MACEIÓ,2,43.025922820989756,152686,85523,67163,1,647,1720,17626,19996,5193,1068,2043,62289,2393,51,46,2329,83,NA,3267,7931
AL,27855,MACEIÓ,2,43.025922820989756,152686,85523,67163,2,NA,NA,NA,41580,NA,NA,NA,72220,NA,NA,NA,NA,NA,NA,2577,8174
