SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
MG,41629,SÃO JOAQUIM DE BICAS,41,42.52698066126014,19236,9744,9483,1,80,263,1179,4604,504,67,205,5746,320,2,8,153,13,624,1313
MT,98914,RESERVA DO CABAÇAL,41,43.625,2000,985,1009,2,0,0,0,521,0,0,0,735,0,0,0,0,0,28,71
CE,15237,PORTEIRAS,70,42.30720636406177,12823,6698,6125,2,0,0,0,8829,0,0,0,1047,0,0,0,0,0,71,363
MG,47651,LEANDRO FERREIRA,219,45.310334061817045,3203,1564,1638,2,0,0,0,792,0,0,0,1412,0,0,0,0,0,56,243
PR,74314,ARARUNA,74,45.60235118492256,10718,5338,5315,2,0,0,0,2773,0,0,0,5162,0,0,0,0,0,161,410
SC,83909,BALNEÁRIO RINCÃO,79,45.94355571714234,11002,5541,5461,2,0,0,0,1956,0,0,0,5842,0,0,0,0,0,137,356
BA,36510,JACOBINA,46,42.091982539919414,53609,29437,24172,2,0,0,0,31586,0,0,0,9815,0,0,0,0,0,555,2789
RS,88447,MAÇAMBARÁ,24,44.975235531628535,3715,1825,1890,1,8,7,344,899,236,10,45,1183,27,3,2,16,0,83,42
GO,94439,LEOPOLDO DE BULHÕES,141,43.157230436350524,5546,2823,2723,1,16,31,256,1135,236,15,107,2148,68,0,3,30,3,107,343
SP,61360,BARRA DO CHAPÉU,10,43.32633788037776,4765,2225,2540,1,25,4,55,1392,803,4,36,876,9,1,2,8,2,121,189
TO,73539,SANTA TEREZINHA DO TOCANTINS,9,40.417339795368875,1857,905,952,1,4,2,156,798,37,7,16,436,1,1,0,9,3,23,107
BA,37397,MUCUGÊ,119,43.13252060051924,8859,4502,4353,2,0,0,0,4574,0,0,0,1575,0,0,0,0,0,80,547
RS,87467,PORTO MAUÁ,42,48.947513812154696,2172,1099,1073,2,0,0,0,531,0,0,0,1125,0,0,0,0,0,26,104
MS,90930,IVINHEMA,27,43.191818945599664,19044,9627,9417,2,0,0,0,4756,0,0,0,8712,0,0,0,0,0,275,927
RS,87769,SÃO JOSÉ DAS MISSÕES,32,46.882017126546145,2102,1029,1073,2,0,0,0,973,0,0,0,620,0,0,0,0,0,60,73
MG,53171,SENADOR MODESTINO GONÇALVES,135,43.305763308402994,4546,2178,2363,1,14,7,159,1385,179,8,13,706,57,2,1,10,1,67,225
SP,72079,TURMALINA,233,48.892331132554595,1969,994,975,2,0,0,0,475,0,0,0,725,0,0,0,0,0,25,150
PB,19020,SOBRADO,4,41.10103988825082,6443,3296,3147,1,30,54,550,2678,198,11,58,1257,13,0,1,19,3,184,471
ES,57975,VENDA NOVA DO IMIGRANTE,40,43.17552547595466,18174,9250,8918,1,84,86,1071,1131,674,47,82,8978,560,1,3,108,2,494,861
SP,71617,TAGUAÍ,234,43.31268011527378,9022,4697,4316,1,71,19,392,1147,1179,17,55,3436,180,1,3,37,2,208,274
SE,31275,CARIRA,29,42.33217380690834,16388,8462,7926,1,18,93,1022,7951,503,36,66,1821,70,1,0,73,6,243,1093
MT,89818,NOVA BRASILÂNDIA,34,43.913307062746284,3299,1562,1737,1,13,9,116,1076,166,3,32,953,26,0,0,6,1,29,131
SP,70459,SANTANA DA PONTE PENSA,187,48.69774527726996,1641,809,832,2,0,0,0,336,0,0,0,733,0,0,0,0,0,33,119
BA,36870,LENÇÓIS,89,42.17442778216259,7602,3920,3682,2,0,0,0,4376,0,0,0,694,0,0,0,0,0,40,276
