SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
MS,90514,CAMPO GRANDE,44,41.7627007461725,85370,46515,38855,1,683,1237,6540,12369,4014,410,1040,41331,1436,16,16,921,35,1978,2933
RS,85154,ANTÔNIO PRADO,6,45.90818982779335,9988,5047,4941,1,43,15,393,893,373,28,205,6249,319,0,0,31,4,199,267
TO,73083,PALMEIRANTE,8,41.99180327868852,3294,1503,1791,2,0,0,0,1763,0,0,0,669,0,0,0,0,0,19,104
MA,7749,JATOBÁ,29,39.18686175887822,6562,3207,3350,2,0,0,0,3852,0,0,0,650,0,0,0,0,0,19,114
PE,23710,CAMUTANGA,27,41.150153502651406,7167,3623,3544,1,15,74,387,3012,107,7,16,1423,70,2,1,32,1,116,491
PB,19380,CAJAZEIRINHAS,52,42.120734908136484,3429,1705,1724,2,0,0,0,2151,0,0,0,408,0,0,0,0,0,21,102
MG,40550,ANDRELÂNDIA,14,46.36666666666667,9870,5030,4835,1,24,30,635,2004,596,13,60,2666,195,2,2,45,0,249,631
SP,62138,BARUERI,199,41.99217102390872,135144,73981,61030,1,620,1610,13278,19001,8928,712,1084,46284,4091,17,67,1224,45,3618,7733
SC,80780,SÃO MIGUEL DA BOA VISTA,58,46.637462235649544,1655,816,839,1,35,3,51,540,113,7,29,459,25,1,0,5,0,23,55
GO,96890,SANTA ISABEL,72,46.00448028673835,3348,1636,1712,2,0,0,0,906,0,0,0,1533,0,0,0,0,0,25,116
BA,33510,BAIXA GRANDE,86,44.162897093884915,15520,7912,7595,2,0,0,0,7344,0,0,0,2551,0,0,0,0,0,182,821
MG,40959,AUGUSTO DE LIMA,54,45.41526787767303,4349,2106,2243,1,24,46,268,1120,155,8,42,896,39,1,0,20,1,69,237
PI,12530,TAMBORIL DO PIAUÍ,36,41.344255663430424,2472,1191,1281,1,3,68,118,1478,14,1,19,165,4,0,0,5,0,25,132
SC,80225,ABDON BATISTA,52,45.83440860215054,2325,1122,1203,1,19,0,67,573,192,4,86,904,23,0,0,3,2,39,64
PI,11835,SANTA FILOMENA,35,40.706955530216646,4385,2140,2245,1,14,5,165,2623,55,10,36,561,3,0,0,8,2,45,176
RS,88994,SAPIRANGA,131,43.20520821420986,61211,31599,29612,2,0,0,0,14808,0,0,0,31672,0,0,0,0,0,1194,2826
PR,75159,COLORADO,95,46.23425144616038,18843,9746,9089,1,1054,152,967,3906,393,61,102,5783,299,2,1,61,3,342,1222
PR,78034,RANCHO ALEGRE,84,45.60502512562814,2985,1545,1440,1,143,16,85,629,86,8,27,1380,24,0,0,13,0,62,164
PA,5878,GARRAFÃO DO NORTE,81,39.549180327868854,21107,9975,11128,1,9,37,1526,9195,523,33,273,2974,11,1,37,72,10,193,852
PR,76350,JANDAIA DO SUL,70,44.36577202806205,15537,8168,7369,1,715,55,721,1777,449,47,100,8083,333,2,2,54,5,340,767
SP,61131,AGUDOS,7,44.315812308103055,29966,15424,14538,2,0,0,0,4571,0,0,0,15379,0,0,0,0,0,777,2067
MS,90530,CARACOL,17,43.25690302628672,4527,2185,2342,1,16,15,99,1016,343,4,35,1689,17,1,1,15,0,32,83
MA,7366,BURITIRANA,58,42.39025054466231,11016,5384,5625,2,0,0,0,5179,0,0,0,2363,0,0,0,0,0,88,228
CE,13145,ACARAPE,52,40.88022778192681,10712,5716,4996,2,0,0,0,5839,0,0,0,2769,0,0,0,0,0,165,563
RS,85243,IPIRANGA DO SUL,70,47.67020711630377,1883,939,944,1,16,4,56,207,89,4,27,1101,63,0,0,1,0,30,50
PA,4642,MARITUBA,78,39.043391051618975,73289,38841,34448,2,0,0,0,30049,0,0,0,25234,0,0,0,0,0,1040,5042
PB,20893,MOGEIRO,6,40.695149885469576,10042,5175,4867,1,9,61,527,4774,212,18,165,1978,22,1,0,24,1,236,714
TO,73202,ITAPIRATINS,33,42.87243401759531,2728,1256,1472,2,0,0,0,1312,0,0,0,673,0,0,0,0,0,26,122
SP,71757,TAQUARITINGA,139,45.813213601651704,40202,20871,19327,2,0,0,0,7212,0,0,0,18278,0,0,0,0,0,1088,2535
MA,7021,ALTO ALEGRE DO MARANHÃO,35,42.01751373626374,17472,9071,8389,1,5,89,610,8837,55,20,275,1858,16,0,0,25,2,149,591
PR,79839,BRAGANEY,126,44.00364181662382,4668,2278,2384,2,0,0,0,1535,0,0,0,1831,0,0,0,0,0,71,171
PR,74284,ENTRE RIOS DO OESTE,129,44.77240356083086,3370,1709,1661,2,0,0,0,635,0,0,0,2062,0,0,0,0,0,23,81
BA,39454,UBATÃ,134,42.85162782423056,11242,6101,5141,2,0,0,0,5746,0,0,0,2780,0,0,0,0,0,119,633
MG,47899,MANHUMIRIM,168,45.59452265467881,16906,8798,8101,2,0,0,0,4773,0,0,0,6019,0,0,0,0,0,268,1239
GO,93351,DAMIANÓPOLIS,123,42.836616454229436,3452,1712,1740,1,12,6,215,780,231,15,39,959,17,0,2,26,0,77,229
SP,61824,PARISI,147,46.20920674064941,2433,1199,1232,1,8,2,87,261,225,8,14,1106,16,0,0,2,0,54,97
PR,76295,JACAREZINHO,24,43.950035038542396,28540,15125,13415,1,677,178,2957,5925,842,64,269,10973,294,8,7,198,11,606,1188
RS,89184,CORONEL PILAR,98,51.520110957004164,1442,675,767,1,1,1,63,173,57,0,54,818,25,0,0,3,0,24,26
SP,65072,IGUAPE,51,46.678316844515486,23147,11776,11371,2,0,0,0,4452,0,0,0,9249,0,0,0,0,0,433,1389
RS,87084,MONTE BELO DO SUL,8,49.40509337860781,2946,1474,1472,1,23,3,119,206,85,2,57,1844,76,0,0,7,0,45,67
AL,27251,CAJUEIRO,5,39.973211781206174,14260,7492,6768,2,0,0,0,6380,0,0,0,2652,0,0,0,0,0,138,545
PB,20370,INGÁ,8,42.16067002178322,13316,6948,6368,2,0,0,0,7461,0,0,0,3076,0,0,0,0,0,140,617
TO,94838,NAZARÉ,9,42.7467248908297,3664,1789,1875,1,8,17,238,1774,87,8,19,711,6,1,3,21,1,26,247
SC,80608,RIO RUFINO,4,43.94635193133047,2330,1111,1219,2,0,0,0,605,0,0,0,1060,0,0,0,0,0,44,113
MA,8346,SÃO JOÃO DO SOTER,6,40.62156654261918,11286,5841,5445,1,6,105,321,7349,50,13,91,728,4,1,1,24,10,60,549
RS,88501,TURUÇU,60,45.347180109157065,3298,1648,1650,2,0,0,0,747,0,0,0,1789,0,0,0,0,0,97,171
