SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,IDADE_EST_MED,ELEITORES,FEMININO,MASCULINO,NR_TURNO,ALVARO FERNANDES DIAS,BENEVENUTO DACIOLO FONSECA DOS SANTOS,CIRO FERREIRA GOMES,FERNANDO HADDAD,GERALDO JOSÉ RODRIGUES ALCKMIN FILHO,GUILHERME CASTRO BOULOS,HENRIQUE DE CAMPOS MEIRELLES,JAIR MESSIAS BOLSONARO,JOÃO DIONISIO FILGUEIRA BARRETO AMOEDO,JOÃO VICENTE FONTELLA GOULART,JOSE MARIA EYMAEL,MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,VERA LUCIA PEREIRA DA SILVA SALGADO,VOTO BRANCO,VOTO NULO
AL,28274,PÃO DE AÇÚCAR,11,40.40351169639384,17997,9369,8628,1,18,73,770,8695,236,33,452,2244,67,4,2,55,5,223,642
AL,28274,PÃO DE AÇÚCAR,11,40.40351169639384,17997,9369,8628,2,0,0,0,9356,0,0,0,2301,0,0,0,0,0,123,475
AL,28290,PASSO DE CAMARAGIBE,12,39.474187209717755,11197,5632,5565,1,15,339,306,4052,267,18,228,2296,25,1,2,48,8,266,585
AL,28290,PASSO DE CAMARAGIBE,12,39.474187209717755,11197,5632,5565,2,0,0,0,4712,0,0,0,2470,0,0,0,0,0,107,532
AL,28312,PAULO JACINTO,28,41.13973509933775,6042,3122,2920,1,13,30,269,2595,132,31,116,1047,24,1,2,12,1,100,358
AL,28339,PENEDO,13,41.80228770176599,40831,21983,18848,1,107,206,2694,13607,795,125,673,8409,114,6,8,282,11,736,1494
AL,28339,PENEDO,13,41.80228770176599,40831,21983,18848,2,0,0,0,17029,0,0,0,9490,0,0,0,0,0,392,1288
AL,28355,PIAÇABUÇU,13,40.695535645914696,13059,6844,6215,1,37,111,510,5321,222,33,218,2150,26,3,0,57,4,213,668
AL,28371,PILAR,8,40.744326600639475,25646,13714,11932,2,0,0,0,9463,0,0,0,8313,0,0,0,0,0,366,1095
AL,28398,PINDOBA,5,40.548530004027384,2483,1270,1213,1,2,8,114,1149,40,4,61,437,6,0,0,5,1,41,114
AL,28398,PINDOBA,5,40.548530004027384,2483,1270,1213,2,0,0,0,1210,0,0,0,475,0,0,0,0,0,21,91
AL,28410,PIRANHAS,40,38.02761030033245,17748,9263,8485,1,22,35,991,9408,89,41,381,1131,23,1,1,43,4,139,734
AL,28436,POÇO DAS TRINCHEIRAS,50,39.4318970798448,9794,4888,4906,2,0,0,0,6226,0,0,0,625,0,0,0,0,0,45,289
AL,28452,PORTO CALVO,14,39.241923440688936,20091,10297,9794,1,42,181,1202,4602,891,48,405,5641,31,10,3,93,6,500,1004
AL,28452,PORTO CALVO,14,39.241923440688936,20091,10297,9794,2,0,0,0,5982,0,0,0,5950,0,0,0,0,0,236,902
AL,28479,PORTO DE PEDRAS,12,40.67859862909368,6565,3315,3250,1,10,59,272,1859,222,11,119,1682,17,1,2,53,6,183,410
AL,28517,QUEBRANGULO,28,40.41678578721666,9795,5037,4758,1,12,35,551,4396,152,13,224,1403,9,2,0,23,3,172,511
AL,28533,RIO LARGO,15,40.55053396454916,54500,29058,25442,1,121,1063,3791,14833,1773,228,1116,17110,193,2,8,552,21,1624,2732
AL,28533,RIO LARGO,15,40.55053396454916,54500,29058,25442,2,0,0,0,19803,0,0,0,19583,0,0,0,0,0,941,2618
AL,28550,ROTEIRO,18,38.10724289715886,4998,2502,2496,1,3,56,187,1854,141,12,103,986,20,1,2,37,2,94,271
AL,28550,ROTEIRO,18,38.10724289715886,4998,2502,2496,2,0,0,0,2183,0,0,0,1102,0,0,0,0,0,42,222
AL,28576,SANTA LUZIA DO NORTE,8,40.05343247449421,5783,3063,2720,1,18,90,268,2056,181,31,126,1380,17,0,2,29,2,124,317
AL,28576,SANTA LUZIA DO NORTE,8,40.05343247449421,5783,3063,2720,2,0,0,0,2586,0,0,0,1635,0,0,0,0,0,79,278
AL,28592,SANTANA DO IPANEMA,19,40.13446963536415,30745,16502,14243,1,44,76,1867,14711,414,67,540,4119,102,3,4,100,6,376,1456
AL,28614,SANTANA DO MUNDAÚ,21,39.82993767976989,8346,4284,4062,1,8,18,412,3916,140,14,181,929,15,2,0,31,0,116,380
AL,28614,SANTANA DO MUNDAÚ,21,39.82993767976989,8346,4284,4062,2,0,0,0,4729,0,0,0,1105,0,0,0,0,0,58,288
AL,28630,SÃO BRÁS,37,40.487895716946,5907,2998,2909,1,7,28,163,2873,187,19,131,805,8,0,4,14,1,154,201
AL,28630,SÃO BRÁS,37,40.487895716946,5907,2998,2909,2,0,0,0,3103,0,0,0,879,0,0,0,0,0,65,185
AL,28657,SÃO JOSÉ DA LAJE,16,39.42383748801534,16688,8674,8014,1,25,102,668,6126,320,30,418,3766,33,1,1,70,3,308,793
AL,28657,SÃO JOSÉ DA LAJE,16,39.42383748801534,16688,8674,8014,2,0,0,0,7192,0,0,0,4203,0,0,0,0,0,194,719
AL,28673,SÃO JOSÉ DA TAPERA,51,38.44578901141798,20495,10712,9783,1,7,75,916,10264,296,53,531,1453,93,2,0,47,1,308,949
AL,28690,SÃO LUÍS DO QUITUNDE,17,38.50747975662198,21863,11113,10750,1,25,285,1014,6698,833,45,424,5065,47,4,6,99,2,662,1115
